fund_slug,description
shenzhen-capital,Shenzhen Capital Group | Type: Venture | Tier: 3 | Based in China
aqn-digital,AQN Digital | Type: Venture | Tier: 4 | Based in Canada
bitbuy,Bitbuy | Type: Exchange | Tier: 4 | Based in Canada
bitcoin-ira,Bitcoin IRA | Type: Corporation | Tier: 4 | Based in United States
odos,ODOS | Type: Corporation | Tier: 4 | Location: Not specified
outsiders-fund,Outsiders Fund | Type: Venture | Tier: 4 | Location: Not specified
rough-draft-ventures,Rough Draft Ventures | Type: Venture | Tier: 4 | Based in United Kingdom
bgx,BGX | Type: Corporation | Tier: 4 | Location: Not specified
moneyture-ventures,Moneyture Ventures | Type: Venture | Tier: 4 | Location: Not specified
nyu-venture-innovation-fund,NYU Venture Innovation Fund | Type: Venture | Tier: 4 | Based in United States
fracton-ventures,Fracton Ventures | Type: Venture | Tier: 4 | Based in Japan
laguna-investment,Laguna Investment | Type: Venture | Tier: 4 | Based in South Korea
sm-culture-partners,SM Culture Partners | Type: Venture | Tier: 4 | Based in South Korea
dair-capital,Dair Capital | Type: Venture | Tier: 4 | Location: Not specified
record,Record | Type: Venture | Tier: 4 | Based in United Kingdom
ay-ventures,AY Ventures | Type: Incubator | Tier: 4 | Based in India
draper-b1,Draper B1 | Type: Venture | Tier: 4 | Based in Spain
menyala,Menyala | Type: Venture | Tier: 4 | Based in Singapore
expansion-venture-capital,Expansion Venture Capital | Type: Venture | Tier: 4 | Based in United States
folkvang,Folkvang | Type: Corporation | Tier: 4 | Location: Not specified
zero-age-ventures,Zero Age Ventures | Type: Venture | Tier: 4 | Location: Not specified
volksbank-raiffeisenbank-bayern-mitte,Volksbank Raiffeisenbank Bayern Mitte | Type: Corporation | Tier: 4 | Based in Germany
blackwood-ventures,Blackwood Ventures | Type: Venture | Tier: 4 | Location: Not specified
calligraphy-digital,Calligraphy Digital | Type: Venture | Tier: 4 | Based in United Kingdom
treehouse,Treehouse | Type: Venture | Tier: 4 | Location: Not specified
devc,DeVc | Type: Venture | Tier: 4 | Based in India
k2-access-fund,K2 Access Fund | Type: Venture | Tier: 4 | Location: Not specified
triatomic-capital,Triatomic Capital | Type: Venture | Tier: 4 | Location: Not specified
abseed-ventures,ABSeed Ventures | Type: Venture | Tier: 4 | Based in Brazil
honey-island,Honey Island | Type: Venture | Tier: 4 | Based in Brazil
aragon-dao,Aragon DAO | Type: DAO | Tier: 4 | Location: Not specified
firstpick,FIRSTPICK | Type: Venture | Tier: 4 | Based in Lithuania
super-how,SUPER HOW? | Type: Venture | Tier: 4 | Based in Lithuania
2Shares,2Shares | Type: Venture | Tier: 4 | Location: Not specified
primapesdao,PrimapesDAO | Type: DAO | Tier: 4 | Location: Not specified
coins-ph,Coins.ph | Type: Corporation | Tier: 4 | Based in Philippines
core-vision,Core Vision | Type: Venture | Tier: 4 | Based in UAE
bim-ventures,BIM Ventures | Type: Venture | Tier: 4 | Based in UAE
w11-capital,W11 Capital | Type: Venture | Tier: 4 | Based in United States
web3auth,Web3Auth | Type: Corporation | Tier: 4 | Based in Singapore
coinstore,Coinstore | Type: Exchange | Tier: 4 | Based in Singapore
genius-ventures,Genius Ventures | Type: Venture | Tier: 4 | Location: Not specified
americanexpress-ventures,AMEX Ventures | Type: Venture | Tier: 4 | Based in United States
l7-dex,L7 DEX | Type: Exchange | Tier: 4 | Location: Not specified
alphablockz,Alphablockz | Type: Venture | Tier: 4 | Based in British Virgin Islands
juno,Juno | Type: Corporation | Tier: 4 | Based in United States
nexara-ventures,Nexara Ventures | Type: Incubator | Tier: 4 | Based in Hong Kong
snowflake,Snowflake | Type: Corporation | Tier: 4 | Based in United States
nil,Nil | Type: Corporation | Tier: 4 | Location: Not specified
angelwise,Angelwise | Type: Venture | Tier: 4 | Based in Belgium
scalo-technologies,Scalo Technologies | Type: Venture | Tier: 4 | Based in UAE
seedblink,SeedBlink | Type: Corporation | Tier: 4 | Based in Romania
acura-capital,Acura Capital | Type: Corporation | Tier: 4 | Based in Brazil
asphere-innovations,Asphere Innovations | Type: Corporation | Tier: 4 | Based in Thailand
polkabridge-ventures,PolkaBridge Ventures | Type: Venture | Tier: 4 | Based in Singapore
sandton-capital-partners,Sandton Capital Partners | Type: Corporation | Tier: 4 | Based in United States
goldcrest-capital,Goldcrest Capital | Type: Venture | Tier: 4 | Based in United States
tranching-protocol,Tranching Protocol | Type: Corporation | Tier: 4 | Based in Hong Kong
betaworks,Betaworks | Type: Corporation | Based in United States
psyfi,PsyFi | Type: Corporation | Tier: 4 | Location: Not specified
cleveland-avenue,Cleveland Avenue | Type: Venture | Tier: 4 | Based in United States
kratos-studios,Kratos Studios | Type: Corporation | Tier: 4 | Based in India
primexm,PrimeXM | Type: Venture | Tier: 4 | Location: Not specified
napster,Napster | Type: Corporation | Tier: 4 | Based in United States
bait-alzomorod,Bait Alzomorod | Type: Venture | Tier: 4 | Based in UAE
sgh-capital,SGH Capital | Type: Venture | Tier: 4 | Based in Luxembourg
taxbit,TaxBit | Type: Corporation | Tier: 4 | Based in United States
unicorn-hunter-ventures,Unicorn Hunter Ventures | Type: Venture | Tier: 4 | Based in Vietnam
unlimit,Unlimit | Type: Corporation | Tier: 4 | Based in United Kingdom
tongnk,Nick Tong | Type: Angel Investor | Tier: 4 | Based in Singapore
premjiInvest,Premji Invest | Type: Venture | Tier: 4 | Based in India
metrix-capital,Metrix.Capital | Type: Venture | Tier: 4 | Based in United States
oanda,OANDA | Type: Exchange | Tier: 4 | Based in United States
shinsegae,Shinsegae | Type: Corporation | Tier: 4 | Based in South Korea
kristaps-vaivods,Kristaps Vaivods | Type: Angel Investor | Tier: 4 | Based in Latvia
tachyon,Tachyon Ventures | Type: Venture | Tier: 4 | Location: Not specified
metal-vc,Metal Pay | Type: Corporation | Tier: 4 | Based in United States
tomo-chain,Viction | Type: Corporation | Tier: 4 | Based in Singapore
thibault-launay,Thibault Launay | Type: Angel Investor | Tier: 4 | Based in UAE
synaps,Synaps | Type: Corporation | Tier: 4 | Based in France
redstart-labs,RedStart Labs | Type: Venture | Tier: 4 | Location: Not specified
advent,Advent | Type: Venture | Tier: 4 | Location: Not specified
a-z-angels,A'Z Angels | Type: Venture | Tier: 4 | Based in United States
croc-capital,Croc Capital | Type: Venture | Tier: 4 | Based in UAE
gameswift,GameSwift | Type: Corporation | Tier: 4 | Location: Not specified
mvst-mg,MVST:MG | Type: Venture | Tier: 4 | Based in Cyprus
11-2-capital,11.2 Capital | Type: Venture | Tier: 4 | Based in United States
tenzing-capital,Tenzing Capital (Tenzing.vc) | Type: Venture | Tier: 4 | Location: Not specified
vernalis-capital,Vernalis Capital | Type: Venture | Tier: 4 | Location: Not specified
ufin,UFIN | Type: Venture | Tier: 4 | Location: Not specified
global-blockchain-ventures,Global Blockchain Ventures | Type: Venture | Tier: 4 | Location: Not specified
cdti,CDTI | Type: Corporation | Tier: 4 | Based in Spain
tokenomy,Tokenomy | Type: Corporation | Tier: 4 | Based in Singapore
black-hole-capital,Black Hole Capital | Type: Venture | Tier: 4 | Based in China
funcity-capital,Funcity Capital | Type: Venture | Tier: 4 | Based in China
oreilly-alphatech-ventures,Oreilly AlphaTech Ventures (OATV) | Type: Venture | Tier: 4 | Based in United States
orange,Orange | Type: Venture | Tier: 4 | Based in Spain
pritzker-rganization,Pritzker Organization | Type: Venture | Tier: 4 | Location: Not specified
cherry-street,Cherry Street | Type: Venture | Tier: 4 | Location: Not specified
bitliot-ventures,Bitliot Ventures | Type: Venture | Tier: 4 | Location: Not specified | Provides: portfolio data
green-light-equity-fund,Green Light Equity Fund | Type: Venture | Tier: 4 | Based in Czech Republic | Provides: portfolio data
inv-ventures,INV Ventures | Type: Venture | Tier: 4 | Based in Vietnam | Provides: portfolio data
laureus-capital,Laureus Capital | Type: Venture | Tier: 4 | Based in Germany | Provides: portfolio data
lbbw-vc,LBBW VC | Type: Venture | Tier: 4 | Based in Germany | Provides: portfolio data
lpi-dao,LPI DAO | Type: Corporation | Tier: 4 | Location: Not specified | Provides: portfolio data
myria,Myria | Type: Corporation | Tier: 4 | Location: Not specified | Provides: portfolio data
ready-player-me,Ready Player Me | Type: Corporation | Tier: 4 | Based in Estonia | Provides: portfolio data
skale,Skale | Type: Corporation | Tier: 4 | Location: Not specified | Provides: portfolio data
altana-wealth,Altana Wealth | Type: Venture | Tier: 4 | Based in United Kingdom
citizenx,CitizenX | Type: Venture | Tier: 4 | Location: Not specified
cypherion-capital,Cypherion Capital | Type: Venture | Tier: 4 | Location: Not specified | Provides: analytics
dapplabs,DappLabs | Type: Venture | Tier: 4 | Based in Turkey
depin,DePIN | Type: Venture | Tier: 4 | Based in United States
era-twentyone,ERA 2140 | Type: Incubator | Tier: 4 | Location: Not specified
generative-ventures,Generative Ventures Network | Type: Venture | Tier: 4 | Based in United States
hitchens-ventures,Hitchens Ventures | Type: Venture | Tier: 4 | Location: Not specified
marque-ventures,Marque Ventures | Type: Venture | Tier: 4 | Location: Not specified
mmpro-trust,MMPro Trust | Type: Corporation | Tier: 4 | Based in UAE
ruppert-international,Ruppert International | Type: Venture | Tier: 4 | Location: Not specified
securitize,Securitize | Type: Corporation | Tier: 4 | Based in United States
tge-ventures,TGE Ventures | Type: Venture | Tier: 4 | Location: Not specified
tower-research-capital,Tower Research Capital | Type: Venture | Tier: 4 | Location: Not specified
bripheno-pte-ltd,Bripheno Pte. Ltd. | Type: Venture | Tier: 5 | Based in Singapore
notch-ventures,Notch Ventures | Type: Venture | Tier: 5 | Location: Not specified
basedao,BaseDAO | Type: DAO | Tier: 5 | Location: Not specified
kestrel-0x1,Kestrel0x1 | Type: Venture | Tier: 5 | Based in United Kingdom
welara,Welara | Type: Venture | Tier: 5 | Location: Not specified
public-works,Public Works  | Type: Venture | Tier: 5 | Location: Not specified
dfg-capital,DFG | Type: Venture | Tier: 5 | Based in Singapore
rsk-capital,RSK Capital | Type: Venture | Tier: 5 | Location: Not specified
hyla,Hyla | Type: Venture | Tier: 5 | Location: Not specified
vox-capital,Vox Capital | Type: Venture | Tier: 5 | Location: Not specified
credit-scend,Credit Scend | Type: Corporation | Location: Not specified
grandbanks-capital,GrandBanks Capital | Type: Venture | Tier: 5 | Location: Not specified
vitality-ventures,Vitality Ventures | Type: Venture | Tier: 5 | Location: Not specified
black-label,Black Label | Type: Venture | Tier: 5 | Location: Not specified
lava,Lava | Type: Venture | Tier: 5 | Location: Not specified
plan-b-bitcoin-fund,Plan B Bitcoin Fund | Type: Venture | Tier: 5 | Location: Not specified
kef-vc,Kef Ventures | Type: Venture | Tier: 5 | Location: Not specified
blue-bay-ventures,Blue Bay Ventures | Type: Venture | Tier: 5 | Location: Not specified
smallspark,SmallSpark | Type: Venture | Tier: 5 | Location: Not specified
make-it-capital,Make It Capital | Type: Venture | Tier: 5 | Location: Not specified
grupo-salinas,Grupo Salinas | Type: Venture | Tier: 5 | Location: Not specified
ming-capital,Ming Capital | Type: Venture | Tier: 5 | Based in China
ton-incubator,Ton Incubator | Type: Venture | Tier: 5 | Location: Not specified
wincent,Wincent | Type: Venture | Tier: 5 | Location: Not specified
alpha-token-capital,Alpha Token Capital | Type: Venture | Tier: 5 | Location: Not specified
up-top,Up Top | Type: Venture | Tier: 5 | Location: Not specified
heng-feng,Heng Feng Group | Type: Venture | Tier: 5 | Location: Not specified
serengeti-asset-management,Serengeti Asset Management | Type: Venture | Tier: 5 | Location: Not specified
dai-lo,The Dai Lo | Type: Corporation | Tier: 5 | Location: Not specified
accelbyte,AccelByte | Type: Venture | Tier: 5 | Location: Not specified
igc,IGC | Type: Guild | Tier: 5 | Location: Not specified
penrose-ventures,Penrose Ventures | Type: Venture | Tier: 5 | Location: Not specified
tesseract-ventures,Tesseract Ventures | Type: Venture | Tier: 5 | Location: Not specified
outrun-ventures,Outrun Ventures | Type: Venture | Tier: 5 | Location: Not specified
adventure-layer,Adventure Layer | Type: Corporation | Tier: 5 | Location: Not specified
snapfingerx,SnapFingerX | Type: Corporation | Tier: 5 | Location: Not specified
whitewater-labs,Whitewater Labs | Type: Venture | Tier: 5 | Location: Not specified
gaurav-mehta,Gaurav Mehta | Type: Angel Investor | Tier: 5 | Location: Not specified
coinvision,Coinvision | Type: Corporation | Tier: 5 | Location: Not specified
intelligent-cricket,Intelligent Cricket | Type: Corporation | Tier: 5 | Based in United Kingdom
moon-capital-vc,Moon Capital VC | Type: Venture | Tier: 5 | Location: Not specified
offbeat-dao,Offbeat DAO | Type: DAO | Tier: 5 | Location: Not specified
suin,SuiN | Type: DAO | Tier: 5 | Location: Not specified
tanglin-venture-partners,Tanglin Venture Partners | Type: Venture | Tier: 5 | Based in India
will-ventures,Will Ventures | Type: Venture | Tier: 5 | Based in United States
gst-ventures,GTS Ventures | Type: Venture | Tier: 5 | Based in Hong Kong
unity-ventures,Unity Ventures | Type: Venture | Tier: 5 | Location: Not specified
indicator-capital,Indicator Capital | Type: Venture | Tier: 5 | Location: Not specified
gryps,Gryps | Type: Corporation | Tier: 5 | Location: Not specified
oxorio,OXORIO | Type: Corporation | Tier: 5 | Location: Not specified
zelwin-ventures,Zelwin Ventures | Type: Venture | Tier: 5 | Location: Not specified
dao-venture,DAO Venture | Type: DAO | Tier: 5 | Location: Not specified
dedata-technologies,DeData Technologies | Type: Venture | Tier: 5 | Location: Not specified
fission-digital-capital,Fission Digital Capital | Type: Venture | Tier: 5 | Location: Not specified
vinci-labs,Vinci Labs | Type: Venture | Tier: 5 | Location: Not specified
lam-group,Lam Group | Type: Venture | Tier: 5 | Location: Not specified
zero-knowledge,Zero Knowledge | Type: Venture | Tier: 5 | Based in United States
blackbridge,BlackBridge | Type: Venture | Tier: 5 | Location: Not specified
cityblok,Cityblok | Type: Venture | Tier: 5 | Location: Not specified
artemis-capital,Artemis Capital | Type: Venture | Tier: 5 | Location: Not specified
alco-holdings,Alco Holdings | Type: Corporation | Tier: 5 | Location: Not specified
layer-otc,Layer OTC | Type: Venture | Tier: 5 | Location: Not specified
black-gm-capital,Black GM Capital | Type: Venture | Tier: 5 | Location: Not specified
navig8-group,Navig8 Group | Type: Corporation | Tier: 5 | Location: Not specified
three-three-ventures,Three Three Ventures | Type: Venture | Tier: 5 | Location: Not specified
squasar,Squasar | Type: Venture | Tier: 5 | Location: Not specified
degen-pool,Degen Pool | Type: Venture | Tier: 5 | Location: Not specified
legion-capital,Legion Capital | Type: Venture | Tier: 5 | Location: Not specified
archer-capital,Archer Capital | Type: Venture | Tier: 5 | Location: Not specified
emo-capital,EMO Capital | Type: Venture | Tier: 5 | Location: Not specified
chuangqi-international-limited,Chuangqi International Limited | Type: Corporation | Tier: 5 | Based in Hong Kong
opta,OptaJoe | Type: Corporation | Tier: 5 | Based in United Kingdom
onega-ventures,Onega Ventures | Type: Venture | Tier: 5 | Location: Not specified
gm-ventures,GM Ventures | Type: Venture | Tier: 5 | Location: Not specified
neuler,Neuler | Type: Corporation | Tier: 5 | Location: Not specified
african-crops,African Crops | Type: Corporation | Tier: 5 | Location: Not specified
open-market-group,OMG | Open Market Group | Type: Corporation | Tier: 5 | Location: Not specified
iceriver-venture,IceRiver Venture | Type: Venture | Tier: 5 | Location: Not specified
neighbor-capital-series,Neighbor Capital Series | Type: Venture | Tier: 5 | Location: Not specified
trinity-labs,Trinity Labs | Type: Venture | Tier: 5 | Location: Not specified
zc-capital,ZC Capital | Type: Venture | Tier: 5 | Location: Not specified
marathon-digital,MARA | Type: Corporation | Tier: 3 | Based in United States
1881,1881 S | Type: Venture | Tier: 5 | Location: Not specified
link-capital,Link Capital | Type: Venture | Tier: 5 | Location: Not specified
polk-street-capital,Polk Street Capital | Type: Venture | Tier: 5 | Location: Not specified
brainbox,Brainbox | Type: Venture | Tier: 5 | Location: Not specified
xforce-capital,XForce Capital | Type: Venture | Tier: 5 | Location: Not specified
digitalpacific,Digital Pacific Holding | Type: Venture | Tier: 5 | Location: Not specified
hussein-family-office,Hussein Family Office | Type: Venture | Tier: 5 | Location: Not specified
buckingham,Buckingham | Type: Corporation | Tier: 5 | Location: Not specified
prometeus-ventures,Prometeus Ventures | Type: Venture | Tier: 5 | Location: Not specified
block-infinity-limited,Block Infinity Limited | Type: Venture | Tier: 5 | Location: Not specified
warrior-wealth-fund,Warrior Wealth Fund | Type: Venture | Tier: 5 | Location: Not specified
malana-ventures,Malana Ventures | Type: Venture | Tier: 5 | Location: Not specified
sunforge,Sunforge | Type: Venture | Tier: 5 | Location: Not specified
soft-holdings,Soft Holdings | Type: Venture | Tier: 5 | Location: Not specified
c3u-capital,C3u Capital | Type: Venture | Tier: 5 | Location: Not specified
droplet-capital,Droplet Capital | Type: Venture | Tier: 5 | Location: Not specified
tangle-capital,Tangle Capital | Type: Venture | Tier: 5 | Location: Not specified
west-ham-capital,West Ham Capital | Type: Venture | Tier: 5 | Location: Not specified
divide-labs,Divide Labs | Type: Venture | Tier: 5 | Location: Not specified
lets-go-ventures,Let’s Go Ventures | Type: Venture | Tier: 5 | Location: Not specified
bex-ventrue,Bex Ventrue | Type: Venture | Tier: 5 | Location: Not specified
foster-labs,Foster Labs | Type: Venture | Tier: 5 | Location: Not specified
tripod-capital,Tripod Capital | Type: Venture | Tier: 5 | Location: Not specified
84000lp,84000LP | Type: Venture | Tier: 5 | Location: Not specified
fermion-capital,Fermion Capital | Type: Venture | Tier: 5 | Location: Not specified
unbroken-chain,Unbroken Chain | Type: Venture | Tier: 5 | Location: Not specified
coded-fi,Coded Fi | Type: Corporation | Tier: 5 | Location: Not specified
advisors-anonymous,Advisors Anonymous | Type: Venture | Tier: 5 | Location: Not specified
antiga-capital,Antiga Capital | Type: Venture | Tier: 5 | Location: Not specified
dravus-investment,Dravus Investment | Type: Corporation | Tier: 5 | Location: Not specified
petrocuyo,Petrocuyo | Type: Corporation | Tier: 5 | Location: Not specified
teepee-capital,Teepee Capital | Type: Venture | Tier: 5 | Location: Not specified
peachxyz,Peach | Type: Corporation | Tier: 5 | Based in United States
factorial,Factorial | Type: Corporation | Tier: 5 | Location: Not specified
midcurve,midcurve | Type: Corporation | Tier: 5 | Location: Not specified
vbc-technology,VCB Technology | Type: Corporation | Tier: 5 | Location: Not specified
timegroup,TimeGroup | Type: Venture | Tier: 5 | Location: Not specified
u2venture,U2Venture | Type: Venture | Tier: 5 | Location: Not specified
mintfox,Mintfox | Type: Venture | Tier: 5 | Location: Not specified
barefoot-mining,Barefoot Mining | Type: Venture | Tier: 5 | Location: Not specified
moonkite,MoonKite | Type: Venture | Tier: 5 | Location: Not specified
dar-arts,Dark Arts | Type: Corporation | Tier: 5 | Location: Not specified
harmonic-future,Harmonic Future | Type: Corporation | Tier: 5 | Location: Not specified
avra,Avra | Type: Venture | Tier: 5 | Location: Not specified
olive-capital,Olive Capital | Type: Venture | Tier: 5 | Location: Not specified
0xkb,0xkb | Type: Venture | Tier: 5 | Location: Not specified
bitfund-dao,Bitfund Dao | Type: DAO | Tier: 5 | Location: Not specified
nextport-capital,Nextport Capital | Type: Venture | Tier: 5 | Location: Not specified
skylean-capital,Skylean Capital | Type: Venture | Tier: 5 | Location: Not specified
luxtech-capital,Luxtech Capital | Type: Venture | Tier: 5 | Location: Not specified
novawulf,Novawulf | Type: Corporation | Tier: 5 | Location: Not specified
mv-index-solutions,MV Index Solutions | Type: Corporation | Tier: 5 | Location: Not specified
vietnam-blockchain-association,Vietnam Blockchain Association | Type: Venture | Tier: 5 | Location: Not specified
yzb-investment,YZB Investment | Type: Venture | Tier: 5 | Location: Not specified
ygg-sea,YGG SEA | Type: DAO | Tier: 5 | Based in Taiwan
dragon-capital,Dragon Capital | Type: Venture | Tier: 5 | Based in United States
